OTU_1, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Asaccharobacter
OTU_2, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Atopobium
OTU_3, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Collinsella
OTU_4, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Eggerthella
OTU_5, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Gordonibacter
OTU_6, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Olsenella
OTU_7, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Slackia
OTU_8, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides
OTU_9, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Barnesiella
OTU_10, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Butyricimonas
OTU_11, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Odoribacter
OTU_12, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Parabacteroides
OTU_13, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas
OTU_14, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Paraprevotella
OTU_15, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella
OTU_16, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes
OTU_17, Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Flavobacteriaceae, Capnocytophaga
OTU_18, Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
OTU_19, Bacteria, Firmicutes, Bacilli, Bacillales, Bacillales_incertae_sedis, Rummeliibacillus
OTU_20, Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Gemella
OTU_21, Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Abiotrophia
OTU_22, Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella
OTU_23, Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus
OTU_24, Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus
OTU_25, Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Weissella
OTU_26, Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus
OTU_27, Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus
OTU_28, Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium
OTU_29, Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Anaerofustis
OTU_30, Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium
OTU_31, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XI, Anaerococcus
OTU_32, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XI, Finegoldia
OTU_33, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XI, Parvimonas
OTU_34, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XI, Peptoniphilus
OTU_35, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIII, Anaerovorax
OTU_36, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIII, Mogibacterium
OTU_37, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIV, Blautia
OTU_38, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIV, Howardella
OTU_39, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Anaerostipes
OTU_40, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Coprococcus
OTU_41, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Dorea
OTU_42, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Oribacterium
OTU_43, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Pseudobutyrivibrio
OTU_44, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Robinsoniella
OTU_45, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Roseburia
OTU_46, Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae, Peptostreptococcus
OTU_47, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Acetanaerobacterium
OTU_48, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaerofilum
OTU_49, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaerotruncus
OTU_50, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Butyricicoccus
OTU_51, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Faecalibacterium
OTU_52, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Lactonifactor
OTU_53, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillibacter
OTU_54, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus
OTU_55, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Sporobacter
OTU_56, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Subdoligranulum
OTU_57, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Acidaminococcus
OTU_58, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Allisonella
OTU_59, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Dialister
OTU_60, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Megamonas
OTU_61, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Megasphaera
OTU_62, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Mitsuokella
OTU_63, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Phascolarctobacterium
OTU_64, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Succiniclasticum
OTU_65, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Veillonella
OTU_66, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Zymophilus
OTU_67, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Catenibacterium
OTU_68, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Coprobacillus
OTU_69, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Holdemania
OTU_70, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Solobacterium
OTU_71, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Turicibacter
OTU_72, Bacteria, Fusobacteria, Fusobacteria, Fusobacteriales, Fusobacteriaceae, Fusobacterium
OTU_73, Bacteria, Fusobacteria, Fusobacteria, Fusobacteriales, Leptotrichiaceae, Leptotrichia
OTU_74, Bacteria, Lentisphaerae, Lentisphaeria, Victivallales, Victivallaceae, Victivallis
OTU_75, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium
OTU_76, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Parasutterella
OTU_77, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Sutterella
OTU_78, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Oxalobacter
OTU_79, Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria
OTU_80, Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio
OTU_81, Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter
OTU_82, Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Succinivibrionaceae, Succinivibrio
OTU_83, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas
OTU_84, Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas
OTU_85, Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Cloacibacillus
OTU_86, Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Pyramidobacter
OTU_87, Bacteria, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Verrucomicrobiaceae, Akkermansia
